Week 11

AWAY,,HOME,,,PICK,RANK
Buffalo Bills,,Miami Dolphins,,,Miami Dolphins,8
Atlanta Falcons,,Carolina Panthers,,,Carolina Panthers,1
Cincinnati Bengals,,New Orleans Saints,,,New Orleans Saints,12
Denver Broncos,,St. Louis Rams,,,Denver Broncos,13
Houston Texans,,Cleveland Browns,,,Cleveland Browns,6
Minnesota Vikings,,Chicago Bears,,,Chicago Bears,4
Seattle Seahawks,,Kansas City Chiefs,,,Kansas City Chiefs,2
San Francisco 49ers,,New York Giants,,,San Francisco 49ers,7
Tampa Bay Buccaneers,,Washington Redskins,,,Washington Redskins,11
Oakland Raiders,,San Diego Chargers,,,San Diego Chargers,14
Detroit Lions,,Arizona Cardinals,,,Arizona Cardinals,3
Philadelphia Eagles,,Green Bay Packers,,,Green Bay Packers,9
New England Patriots,,Indianapolis Colts,,,Indianapolis Colts,5
Pittsburgh Steelers,,Tennessee Titans,,,Pittsburgh Steelers,10
