Week 2

AWAY,,HOME,,,PICK,RANK
Pittsburgh Steelers,,Baltimore Ravens,,,Baltimore Ravens,2
Arizona Cardinals,,New York Giants,,,Arizona Cardinals,3
Atlanta Falcons,,Cincinnati Bengals,,,Cincinnati Bengals,9
Dallas Cowboys,,Tennessee Titans,,,Tennessee Titans,8
Detroit Lions,,Carolina Panthers,,,Carolina Panthers,4
Jacksonville Jaguars,,Washington Redskins,,,Washington Redskins,12
Miami Dolphins,,Buffalo Bills,,,Miami Dolphins,1
New Orleans Saints,,Cleveland Browns,,,New Orleans Saints,13
New England Patriots,,Minnesota Vikings,,,New England Patriots,7
Seattle Seahawks,,San Diego Chargers,,,Seattle Seahawks,10
St. Louis Rams,,Tampa Bay Buccaneers,,,Tampa Bay Buccaneers,11
Houston Texans,,Oakland Raiders,,,Houston Texans,6
Kansas City Chiefs,,Denver Broncos,,,Denver Broncos,16
New York Jets,,Green Bay Packers,,,Green Bay Packers,15
Chicago Bears,,San Francisco 49ers,,,San Francisco 49ers,14
Philadelphia Eagles,,Indianapolis Colts,,,Indianapolis Colts,5
